iter	RMSE
0	11355.54954
1	11024.06718
2	10703.93475
3	10416.00513
4	10125.47165
5	9853.914426
6	9605.846364
7	9359.257693
8	9110.753505
9	8883.310469
10	8672.425826
11	8452.724273
12	8253.776385
13	8066.017554
14	7878.345496
15	7701.432787
16	7542.487149
17	7391.899308
18	7240.834812
19	7106.884675
20	6990.605625
21	6872.439631
22	6751.707695
23	6638.208877
24	6535.997183
25	6440.151793
26	6347.280466
27	6268.027012
28	6192.538977
29	6112.822265
30	6045.309438
31	5985.096771
32	5917.89656
33	5857.256094
34	5800.466817
35	5750.696652
36	5706.812988
37	5657.278238
38	5612.023983
39	5567.938424
40	5529.350821
41	5492.754828
42	5457.444799
43	5423.057679
44	5396.457505
45	5366.766535
46	5342.176928
47	5311.102329
48	5293.358261
49	5272.510884
50	5247.692433
51	5223.439456
52	5205.197479
53	5186.150554
54	5166.003623
55	5148.093715
56	5131.711114
57	5117.27756
58	5104.137507
59	5089.695228
60	5076.277738
61	5060.877946
62	5049.548543
63	5038.015383
64	5032.534497
65	5023.826858
66	5011.757603
67	5000.633601
68	4990.991094
69	4983.649289
70	4973.40103
71	4963.967616
72	4955.247387
73	4947.288703
74	4940.168107
75	4935.022878
76	4928.404415
77	4921.843661
78	4918.882594
79	4912.584512
80	4908.286731
81	4901.04831
82	4897.202384
83	4891.590215
84	4887.029397
85	4883.347501
86	4878.238122
87	4872.254859
88	4869.942144
89	4865.102916
90	4862.855971
91	4862.482335
92	4857.156735
93	4854.866056
94	4851.577981
95	4849.09748
96	4846.10838
97	4845.428453
98	4842.599321
99	4838.454246
100	4836.159447
101	4832.165073
102	4828.488313
103	4823.203037
104	4822.278128
105	4819.280514
106	4818.209838
107	4815.665044
108	4812.83316
109	4810.96869
110	4808.737268
111	4805.941863
112	4803.945565
113	4798.434095
114	4798.328771
115	4795.168073
116	4792.668703
117	4791.786646
118	4787.080508
119	4785.299589
120	4784.105043
121	4780.87345
122	4779.12193
123	4777.2126
124	4774.335155
125	4768.705951
126	4766.052809
127	4764.861187
128	4762.697989
129	4762.504298
130	4758.0039
131	4755.528175
132	4755.073211
133	4752.580222
134	4750.708749
135	4746.61134
136	4744.760528
137	4740.343747
138	4736.863817
139	4734.192328
140	4732.967084
141	4729.455409
142	4727.298019
143	4724.835312
144	4724.410192
145	4722.462081
146	4718.076172
147	4717.645084
148	4715.918502
149	4715.504515
150	4713.397823
151	4710.199442
152	4709.35182
153	4708.497811
154	4707.474892
155	4705.346808
156	4703.682508
157	4701.446599
158	4700.497284
159	4698.718123
