iter	Passed	Remaining
0	105	105881
1	109	54452
2	110	36858
3	114	28617
4	119	23798
5	123	20396
6	126	17920
7	130	16203
8	134	14811
9	136	13514
10	140	12597
11	143	11794
12	147	11163
13	149	10535
14	153	10054
15	156	9624
16	159	9250
17	163	8919
18	165	8558
19	168	8248
20	171	7986
21	174	7744
22	177	7526
23	180	7332
24	182	7135
25	185	6960
26	188	6793
27	192	6680
28	195	6548
29	197	6391
30	200	6259
31	202	6138
32	204	6000
33	208	5910
34	211	5824
35	214	5738
36	216	5646
37	219	5565
38	222	5478
39	225	5417
40	227	5325
41	230	5251
42	232	5175
43	234	5102
44	236	5018
45	238	4940
46	240	4870
47	242	4805
48	243	4723
49	244	4641
50	246	4589
51	248	4530
52	250	4472
53	252	4417
54	253	4363
55	255	4309
56	257	4258
57	259	4211
58	260	4151
59	261	4104
60	263	4062
61	266	4031
62	268	3988
63	269	3946
64	270	3894
65	272	3854
66	273	3815
67	275	3777
68	277	3741
69	278	3701
70	280	3666
71	281	3634
72	283	3602
73	285	3574
74	287	3542
75	289	3514
76	290	3484
77	292	3456
78	293	3417
79	294	3385
80	296	3358
81	297	3331
82	299	3304
83	300	3279
84	302	3253
85	303	3228
86	305	3204
87	306	3180
88	307	3152
89	309	3127
90	311	3106
91	311	3075
92	312	3052
93	313	3025
94	315	3002
95	316	2979
96	317	2959
97	318	2933
98	320	2913
99	321	2891
100	322	2874
101	324	2855
102	325	2838
103	327	2822
104	328	2799
105	329	2781
106	330	2762
107	332	2747
108	334	2732
109	335	2715
110	336	2698
111	338	2681
112	339	2664
113	340	2646
114	341	2627
115	342	2612
116	344	2597
117	345	2580
118	346	2565
119	347	2549
120	348	2534
121	350	2521
122	351	2506
123	352	2492
124	354	2478
125	355	2464
126	356	2452
127	358	2439
128	359	2426
129	360	2410
130	361	2398
131	362	2386
132	363	2370
133	364	2358
134	366	2346
135	367	2334
136	368	2322
137	370	2311
138	371	2301
139	372	2291
140	374	2282
141	375	2270
142	377	2259
143	378	2247
144	378	2234
145	380	2223
146	381	2212
147	382	2199
148	383	2188
149	384	2177
150	386	2173
151	387	2164
152	389	2154
153	390	2144
154	391	2136
155	392	2126
156	394	2116
157	395	2105
158	396	2094
159	397	2085
160	398	2077
161	400	2073
162	402	2064
163	403	2055
164	404	2046
165	405	2036
166	406	2027
167	407	2018
168	408	2009
169	409	2000
170	411	1993
171	412	1984
172	413	1976
173	414	1969
174	415	1960
175	417	1952
176	418	1944
177	419	1935
178	420	1928
179	421	1920
180	422	1912
181	423	1905
182	424	1897
183	426	1889
184	427	1881
185	427	1872
186	428	1865
187	430	1859
188	431	1852
189	432	1844
190	433	1835
191	434	1828
192	435	1821
193	436	1814
194	437	1807
195	439	1801
196	440	1794
197	441	1788
198	442	1779
199	443	1773
200	444	1766
201	445	1760
202	447	1755
203	448	1748
204	449	1741
205	450	1735
206	451	1729
207	452	1723
208	453	1716
209	454	1710
210	455	1704
211	456	1698
212	458	1692
213	459	1686
214	460	1681
215	462	1677
216	463	1672
217	464	1666
218	465	1661
219	467	1656
220	468	1650
221	469	1645
222	470	1640
223	472	1635
224	473	1629
225	474	1623
226	475	1619
227	476	1614
228	478	1609
229	479	1604
230	480	1599
231	481	1594
232	482	1589
233	483	1583
234	484	1577
235	485	1572
236	486	1567
237	487	1562
238	489	1557
239	490	1552
240	491	1548
241	492	1543
242	493	1538
243	494	1533
244	495	1528
245	497	1523
246	498	1519
247	499	1514
248	500	1508
249	500	1501
250	501	1497
251	502	1492
252	503	1487
253	505	1483
254	506	1479
255	507	1474
256	508	1470
257	509	1466
258	511	1462
259	512	1458
260	513	1454
261	514	1450
262	515	1445
263	517	1441
264	518	1438
265	519	1434
266	521	1430
267	522	1427
268	523	1423
